Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
1,3/17/24,UI,Window size not fitted,window size fitted to screen,"didn’t fit, zoomed in",yes,no,Rmata Muadthong
2,3/17/24,login,can’t login,window closed to authenticate,window close then didn’t log in,yes,yes,Rmata Muadthong
3,3/17/24,login,not connecting to server,connection to server,not connected to server,yes,yes,Rmata Muadthong
